Date Time,Intersection Street One,Intersection Street Two,Address Street Number,Address Street Name,Number of Motorists,Number of Cyclists,Number of Pedestrians,Number of Injured Individuals,Hospitalizations (estimated),Neighborhood (estimated)
01/02/2016 10:37:00 AM,CAMBRIDGE STREET,PROSPECT STREET,,,2,0,0,0,0,
01/02/2016 03:18:00 PM,,,77,MASS AVE,3,0,0,0,2,Area 2/MIT
01/03/2016 12:47:00 AM,,,77,MASSACHUSETTS AVE.,1,0,0,0,0,Area 2/MIT
01/03/2016 02:00:00 PM,,,120,BRATTLE STREET,2,0,0,0,0,West Cambridge
01/04/2016 09:56:00 AM,,,26,DUNSTER STREET,0,0,0,0,0,Riverside
01/04/2016 06:25:00 PM,,,100,CAMBRIDGESIDE PLACE,2,0,0,0,0,East Cambridge
01/04/2016 07:09:00 PM,,,,MASSACHUSETTS AVE,1,0,0,0,0,
01/04/2016 08:17:00 PM,NEW STREET,BAY STATE ROAD,,,2,0,0,0,0,
01/04/2016 10:19:00 PM,,,00000,UNKNOWN  LOCATION,1,0,0,0,0,
01/05/2016 11:23:00 AM,CAMBRIDGE ST.,HARDING ST.,,,2,0,0,0,0,
01/05/2016 08:00:00 PM,,,3,PALERMO,0,0,0,0,0,Wellington-Harrington
01/05/2016 09:08:00 PM,,,501,MASSACHUSETTS AVE (PARKING LOT,1,0,0,0,0,The Port
01/06/2016 12:41:00 AM,,,,CALLENDER ST,1,0,0,0,0,
01/06/2016 02:44:00 PM,,,130,WAVERLY ST,0,0,0,0,0,Cambridgeport
01/06/2016 04:37:00 PM,,,22,WINDSOR ST,0,0,0,0,0,The Port
01/06/2016 07:35:00 PM,,,200,ALEWIFE BROOK PARKWAY,1,0,0,0,0,Cambridge Highlands
01/06/2016 08:08:00 PM,CAMBRIDGE ST.,WINDSOR ST.,,,1,0,0,0,0,
01/07/2016 09:13:00 AM,,,306,WEBSTER AVE,2,0,0,0,1,Wellington-Harrington
01/07/2016 12:01:00 PM,SIDNEY ST,ERIE ST,,,2,0,0,0,0,
01/07/2016 04:15:00 PM,,,,FARWELL PL,1,0,0,0,0,
01/07/2016 11:13:00 PM,,,220,PUTNAM AVE,2,0,0,0,1,Riverside
01/08/2016 12:46:00 AM,BISHOP ALLEN,ESSEX ST,,,2,0,0,0,0,
01/08/2016 01:26:00 AM,MASSACHUSETTS AVE,CHURCH STREET,,,2,0,0,0,0,
01/08/2016 05:01:00 AM,,,130,MOUNT AUBURN STREET,1,0,0,0,0,West Cambridge
01/08/2016 10:12:00 AM,HURON AVENUE,HOLWORTHY STREET,,,1,0,0,0,0,
01/08/2016 03:31:00 PM,,,,MASSACHUSETTS AVE,2,0,0,0,0,
01/09/2016 02:52:00 AM,MASSACHUSETTS AVE,,,MASSACHUSETTS AVE,1,0,0,0,0,
01/09/2016 03:25:00 AM,MASS AV,CEDAR ST,,,2,0,0,0,0,
01/09/2016 02:12:00 PM,,,195,HARVEY ST.,0,0,0,0,0,North Cambridge
01/09/2016 09:05:00 PM,,,168,ALEWIFE BRK PARKWAY,0,0,0,0,0,Cambridge Highlands
01/09/2016 09:37:00 PM,HAMPSHIRE STREET,COLUMBIA STREET,,,1,0,0,0,0,
01/10/2016 01:19:00 PM,,,84,PRESCOTT ST.,1,0,0,0,0,Mid-Cambridge
01/10/2016 10:47:00 PM,,,515,MASS ASVE,1,0,0,0,0,East Cambridge
01/11/2016 11:27:00 AM,DAVIS ST.,HARVARD ST.,,,1,0,0,0,0,
01/11/2016 01:21:00 PM,BROADWAY ST.,AMES ST.,,,2,0,0,0,1,
01/11/2016 02:12:00 PM,MASS AVE,EVERETT STREET,,,2,0,0,0,0,
01/11/2016 03:35:00 PM,,,358,HURON AVE,2,0,0,0,0,West Cambridge
01/11/2016 05:18:00 PM,,,699,MT AUBURN ST,1,0,0,0,0,West Cambridge
01/11/2016 06:42:00 PM,,,,MASSACHUSETTS AVE,1,0,0,0,0,
01/12/2016 01:00:00 AM,FIFTH STREET,BENT STREET,,,0,0,0,0,0,
01/12/2016 06:24:00 AM,,,90,JFK ST.,2,0,0,0,0,Riverside
01/13/2016 05:08:00 AM,BROADWAY,QUINCY ST,,,0,0,0,0,0,
01/13/2016 07:35:00 AM,,,,GALILEO GALILEI WAY,2,0,0,0,0,
01/14/2016 09:40:00 AM,,,2430,MASS AVE,2,0,0,0,0,North Cambridge
01/14/2016 12:30:00 PM,CAMERON AVE,FAIR OAKS ST,,,1,0,0,0,0,
01/14/2016 01:28:00 PM,CAMBRIDGE STREET,WINDSOR STREET,,,1,0,1,0,1,
01/14/2016 08:43:00 PM,,,49,WHITE STREET,1,0,0,0,0,North Cambridge
01/14/2016 09:42:00 PM,,,36,WILLIAM ST,0,0,0,0,0,Cambridgeport
01/15/2016 09:59:00 AM,THIRD ST,SPRING ST,,,2,0,0,0,1,
01/15/2016 01:46:00 PM,,,5,FAYETTE ST.,1,0,0,0,0,Mid-Cambridge
